molecule_chembl_id,canonical_smiles,pchembl_value,bioactivity_class
CHEMBL3085155,CCCCCCCC[C@@](Cc1cccnc1)(C(=O)NO)S(=O)(=O)c1ccc(OC)cc1,6.76,1
CHEMBL310338,CCOc1ccc(S(=O)(=O)C(C)(Cc2ccc(OCCN(CC)CC)cc2)C(=O)NO)cc1,7.96,1
CHEMBL76356,CCCCCCCCS(=O)(=O)C(C)(Cc1ccc(OCCN2CCCCC2)cc1)C(=O)NO,7.64,1
CHEMBL310688,COc1ccc(S(=O)(=O)C(CC=C(C)C)(CC=C(C)C)C(=O)NO)cc1,9.3,1
CHEMBL94363,CC#CCOc1ccc(S(=O)(=O)NC(C)(C)C(=O)NO)cc1,5.86,1
CHEMBL278060,C#CCOc1ccc(S(=O)(=O)N(C)c2c(C)cc(Br)cc2C(=O)NO)cc1,7.82,1
CHEMBL76619,CC(C)=CCC(CC=C(C)C)(C(=O)NO)S(=O)(=O)c1ccc(C)cc1,7.29,1
CHEMBL19005,CC#CCOc1ccc(S(=O)(=O)N(C)c2c(C)cc(Br)cc2C(=O)NO)cc1,6.52,1
CHEMBL2114153,COc1ccc(S(=O)(=O)[C@](C)(Cc2ccc(OCCN3CCCCC3)cc2)C(=O)NO)cc1,8.3,1
CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,8.05,1
CHEMBL96636,CC#CCOc1ccc(S(=O)(=O)N[C@@H](C(=O)NO)c2ccc(OCCNC)cc2)cc1,6.46,1
CHEMBL76970,C=CCC(CC=C)(C(=O)NO)S(=O)(=O)c1ccc(OC)cc1,7.46,1
CHEMBL96396,CC#CCOc1ccc(S(=O)(=O)NC(CSCc2cccnc2)C(=O)NO)cc1,6.8,1
CHEMBL80412,CCCCC(C(=O)NO)S(=O)(=O)c1ccc(OC)cc1,6.89,1
CHEMBL80378,COc1ccc(S(=O)(=O)C(CCC(C)C)(Cc2cccnc2)C(=O)NO)cc1,6.92,1
CHEMBL310608,COc1ccc(S(=O)(=O)C(C)(Cc2cccnc2)C(=O)NO)cc1,7.42,1
CHEMBL76488,COc1ccc(S(=O)(=O)C(C)(C/C=C/c2ccccc2)C(=O)NO)cc1,7.8,1
CHEMBL80361,COc1ccc(S(=O)(=O)C(C)(CC2CCCCC2)C(=O)NO)cc1,8.05,1
CHEMBL310472,CCN(CC)COc1ccc(CC(C)(C(=O)NO)S(=O)(=O)c2ccc(-c3ccco3)cc2)cc1,8.4,1
CHEMBL94357,CC#CCOc1ccc(S(=O)(=O)N(C)[C@@H](C(=O)NO)C(C)C)cc1,7.96,1
CHEMBL76888,COc1ccc(S(=O)(=O)C(CC=C(C)C)(Cc2cccnc2)C(=O)NO)cc1,8.05,1
CHEMBL307252,COc1ccc(S(=O)(=O)C(Cc2ccc3ccccc3c2)C(=O)NO)cc1,6.71,1
CHEMBL311304,COc1ccc(S(=O)(=O)C(C)(CC=C(C)C)C(=O)NO)cc1,7.96,1
CHEMBL96637,CC#CCOc1ccc(S(=O)(=O)N(C)C(C(=O)NO)C(C)(C)SCc2cccnc2)cc1,8.4,1
CHEMBL94386,C#CCNc1ccc(S(=O)(=O)N(C)CC(=O)NO)cc1,5.82,1
CHEMBL96419,CC#CCOc1ccc(S(=O)(=O)N(C)CCC(=O)NO)cc1,7.28,1
CHEMBL97762,CC#CCOc1ccc(S(=O)(=O)NCCC(=O)NO)cc1,7.75,1
CHEMBL306158,C#CCC(CC#C)(C(=O)NO)S(=O)(=O)c1ccc(OC)cc1,6.85,1
CHEMBL78299,COc1ccc(S(=O)(=O)C(C)(Cc2ccc(OCCN3CCCCC3)cc2)C(=O)NO)cc1,8.05,1
CHEMBL76674,CCN(CC)CCOc1ccc(CC(C)(C(=O)NO)S(=O)(=O)c2ccc(OC)cc2)cc1,7.89,1
CHEMBL94948,CC#CCOc1ccc(S(=O)(=O)N[C@H](C)C(=O)NO)cc1,6.1,1
