canonical_smiles,molecule_chembl_id,pchembl_value,bioactivity_class
CC(C)(C)[C@H](NC(=O)[C@H](Cc1ccc2ccccc2c1)[C@H](O)C(=O)NO)C(N)=O,CHEMBL432583,6.19,1.0
CC(C)(C)[C@H](NC(=O)[C@H](Cc1cnc2ccccc2c1)[C@H](O)C(=O)NO)C(N)=O,CHEMBL323228,6.72,1.0
CC(C)(C)c1ccc2cc(C(=O)N3CCCc4cnccc4C3)[nH]c2c1,CHEMBL5597220,6.96,1.0
CC(C)(Cc1ccc(C(F)(F)F)cc1)C(=O)NC[C@@]1(C2CC2)NC(=O)NC1=O,CHEMBL3972836,5.12,0.0
CC(C)(NS(=O)(=O)c1ccc(Oc2ccc(F)cc2)cc1)C(=O)NO,CHEMBL323612,7.89,1.0
CC(C)(O)c1ccc2cc(C(=O)N3CCCc4cnc(N)c(F)c4C3)[nH]c2c1,CHEMBL5597635,7.36,1.0
CC(C)(O)c1ccc2cc(C(=O)N3CCCc4cnccc4C3)[nH]c2c1,CHEMBL5597889,6.24,1.0
CC(C)=CCC(CC=C(C)C)(C(=O)NO)S(=O)(=O)c1ccc(C)cc1,CHEMBL76619,7.29,1.0
CC(C)=CCOC(=O)c1cccc(=O)[nH]1,CHEMBL254627,4.16,0.0
CC(C)C(=O)N(C[C@H](O)C(=O)NO)c1ccc(Oc2ccc(Cl)cc2)cc1,CHEMBL257725,6.62,1.0
CC(C)C(CS(=O)(=O)c1ccc(-c2cccc(CNC(=O)c3nc4ccccc4c(=O)[nH]3)c2)cc1)N(O)C=O,CHEMBL3889936,8.28,1.0
CC(C)C(N(Cc1ccccc1)S(=O)(=O)c1ccc(-c2ccc(OCCF)cc2)cc1)P(=O)(O)O,CHEMBL3754302,7.02,1.0
CC(C)C(NC(=O)c1ccc(S(=O)(=O)NC(=O)c2ccc(Cl)c(S(=O)(=O)NC(=O)CSc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c2)cc1)C(=O)N1[C@@H](C(=O)NC(C(=O)C(F)(F)F)C(C)C)C[C@H]2CCCC[C@H]21,CHEMBL265769,4.62,0.0
CC(C)C(NS(=O)(=O)c1ccc(-c2ccc(F)nc2)cc1)P(=O)(O)O,CHEMBL3752747,6.41,1.0
CC(C)C(NS(=O)(=O)c1ccc(-c2ccc(OCCF)cc2)cc1)P(=O)(O)O,CHEMBL3754243,7.73,1.0
CC(C)C(NS(=O)(=O)c1ccc2c(c1)OCCO2)C(=O)N1CCCN(C2(c3ccc(Oc4ccccc4)cc3)C(=O)NC(=O)NC2=O)CC1,CHEMBL1812959,6.16,1.0
CC(C)CC(=O)OC(C(=O)O)C(C)C,CHEMBL2048511,4.84,0.0
CC(C)CC(C(=O)CS)C(=O)N[C@H](C(=O)Nc1ccccn1)C(C)(C)C,CHEMBL16087,7.72,1.0
CC(C)CC(C(=O)N(C)C(Cc1ccccc1)C(=O)O)C(CSc1ccccc1)C(=O)NO,CHEMBL458649,7.84,1.0
CC(C)CC(C(=O)NC(C)(C)C)N1C(=O)[C@H](CS)NC(=O)[C@@H]1Cc1ccc([N+](=O)[O-])cc1,CHEMBL287632,6.24,1.0
CC(C)CC(C(=O)N[C@H](C(=O)Nc1ccccn1)C(C)(C)C)C(O)CS,CHEMBL16099,5.35,0.0
CC(C)CCCCCCCC1(Cc2ccccc2)C(=O)NC(=O)NC1=O,CHEMBL2203636,5.75,1.0
CC(C)CCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccccc3)CC2)cc1,CHEMBL78508,8.4,1.0
CC(C)CN(C(CCSCc1ccccc1)C(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CHEMBL319040,8.6,1.0
CC(C)CN(C(CCSCc1ccccc1)C(=O)NO)S(=O)(=O)c1ccc(Br)cc1,CHEMBL316978,8.37,1.0
CC(C)CN(C(CCSCc1ccccc1)C(=O)NO)S(=O)(=O)c1ccc(Oc2ccccc2)cc1,CHEMBL104599,9.3,1.0
CC(C)CN(CC(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CHEMBL561625,7.47,1.0
CC(C)CN([C@@H](C(=O)NO)C(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CHEMBL3754094,8.28,1.0
CC(C)CNC(=O)CC[C@H](NS(=O)(=O)c1ccc(-c2ccccc2)cc1)C(=O)O,CHEMBL3827640,5.09,0.0
CC(C)CNC(=O)CC[C@H](NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)C(=O)O,CHEMBL4167291,5.29,0.0
CC(C)COC(=O)N1CC2(CC2)C[C@H](C(=O)NO)[C@H]1C(=O)N1C=CC(c2ccccc2)CC1,CHEMBL403185,6.35,1.0
CC(C)COc1ccc(C(=O)Nc2ccc(S(=O)(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)O)cc2)cc1,CHEMBL2385445,6.34,1.0
CC(C)C[C@@H](C(=O)N1CCCCC1)[C@@H](CN1C(=O)N(C)C(C)(C)C1=O)C(=O)NO,CHEMBL305729,6.62,1.0
CC(C)C[C@@H](C(=O)N[C@@H](CCC/N=C(/N)NS(C)(=O)=O)C(=O)Nc1nccs1)[C@H](C(C)C)N(O)C=O,CHEMBL135886,7.66,1.0
CC(C)C[C@@H](C(=O)N[C@@H](CCC/N=C(/N)N[N+](=O)[O-])C(=O)Nc1nccs1)[C@H](Cc1ccccc1)N(O)C=O,CHEMBL337512,7.96,1.0
CC(C)C[C@@H](C(=O)N[C@H](C(=O)Nc1nccs1)[C@H](C)CC/N=C(/N)NS(C)(=O)=O)[C@H](C(C)C)N(O)C=O,CHEMBL135034,7.92,1.0
CC(C)C[C@@H](C(=O)N[C@H](C(=O)Nc1nccs1)[C@H](C)CC/N=C(/N)NS(C)(=O)=O)[C@H](C)N(O)C=O,CHEMBL135783,8.07,1.0
CC(C)C[C@@H](C(=O)N[C@H](C(=O)Nc1nccs1)[C@H](C)CC/N=C(/N)NS(C)(=O)=O)[C@H](CCC(F)(F)F)N(O)C=O,CHEMBL334567,7.66,1.0
CC(C)C[C@@H](C(=O)N[C@H](C(=O)Nc1nccs1)[C@H](C)CC/N=C(/N)N[N+](=O)[O-])[C@H](C)N(O)C=O,CHEMBL135590,7.72,1.0
CC(C)C[C@@H](C(=O)N[C@H](C(=O)OC1CCCC1)c1ccccc1)C(O)C(=O)NO,CHEMBL4591371,5.82,1.0
CC(C)C[C@@H](C(=O)N[C@H](C(=O)OC1CCCC1)c1ccccc1)[C@H](O)C(=O)NO,CHEMBL2103847,5.82,1.0
CC(C)C[C@@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)NC(C)c1ccccc1,CHEMBL158571,7.12,1.0
CC(C)C[C@H](C(=O)NO)N(Cc1ccccc1)[P@](C)(=O)c1ccccc1,CHEMBL176602,7.69,1.0
CC(C)C[C@H](CC(=O)NO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(N)=O,CHEMBL3355722,7.71,1.0
CC(C)C[C@H](CC(=O)NO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCNC(=O)c1ccc(F)cc1)C(N)=O,CHEMBL3355723,7.5,1.0
CC(C)C[C@H](CC(=O)NOC(=O)c1ccc(F)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCNC(=O)c1ccc(F)cc1)C(N)=O,CHEMBL3355724,5.62,1.0
CC(C)C[C@H](NC(=O)[C@H](CC(C)C)N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)NCCN1CCOCC1,CHEMBL161572,7.89,1.0
CC(C)C[C@H](NS(=O)(=O)c1ccc(-c2ccc(Br)cc2)cc1)C(=O)O,CHEMBL44062,5.31,0.0
CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)N(C)C,CHEMBL352066,7.09,1.0
CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)N(C)Cc1ccccc1,CHEMBL162072,7.24,1.0
CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)N1CCCC1c1cccnc1,CHEMBL158622,7.16,1.0
